Epoch	Loss	    Accuracy	Precision	Recall	    F1-Score
0	    0.406359	0.863439	0.874499	0.811346	0.836621
10	    0.406359	0.863439	0.874499	0.811346	0.836621
20	    0.406359	0.863439	0.874499	0.811346	0.836621
30	    0.406359	0.863439	0.874499	0.811346	0.836621
40	    0.406359	0.863439	0.874499	0.811346	0.836621
50	    0.406359	0.863439	0.874499	0.811346	0.836621
60	    0.406359	0.863439	0.874499	0.811346	0.836621
70	    0.406359	0.863439	0.874499	0.811346	0.836621
80	    0.406359	0.863439	0.874499	0.811346	0.836621
90	    0.406359	0.863439	0.874499	0.811346	0.836621
