Epoch	Loss	    Accuracy	Precision	Recall	    F1-Score
0	    1.945930	1.000000	1.000000	1.000000	1.000000
10	    1.946371	0.593750	0.500000	0.296875	0.372549
20	    1.946661	0.000000	0.000000	0.000000	0.000000
30	    1.947051	0.000000	0.000000	0.000000	0.000000
40	    1.946926	0.000000	0.000000	0.000000	0.000000
50	    1.947236	0.000000	0.000000	0.000000	0.000000
60	    1.947622	0.000000	0.000000	0.000000	0.000000
70	    1.948715	0.000000	0.000000	0.000000	0.000000
80	    1.949557	0.000000	0.000000	0.000000	0.000000
90	    1.950499	0.000000	0.000000	0.000000	0.000000
