Epoch	Loss	    Accuracy	Precision	Recall	    F1-Score
0	    1.872146	0.234637	0.119902	0.135380	0.082058
10	    1.750237	0.321539	0.129316	0.171429	0.108110
20	    1.671075	0.352576	0.112739	0.188814	0.126494
30	    1.613414	0.482930	0.252884	0.305041	0.261921
40	    1.551789	0.497827	0.228621	0.316738	0.259930
50	    1.485653	0.531347	0.249602	0.335110	0.281595
60	    1.446934	0.524519	0.252385	0.329717	0.279740
70	    1.387585	0.556176	0.257879	0.349349	0.293766
80	    1.362733	0.552452	0.370435	0.356773	0.319173
90	    1.338408	0.562384	0.296990	0.353877	0.303640
