Principal Component 1,00 00,47 00,00 48,44 24,01 00,48 00,45 00,02 00,08 48,04 00,24 20,24 10,75 08,03 00,30 48,74 24,00 57,03 45,08 00,01 48,24 48,40 48,24 40,57 48,00 59,38 48,00 33,05 00,41 41,00 74,45 33,29 47,54 24,40 00,00 49,24 50,24 08,64 24,56 57,10 00,48 48,50 48,00 75,00 01,00 41,09 00,46 00,41 00,53 48,74 48,00 66,03 48,58 48,48 33,59 59,00 44,41 56,53 56,55 48,10 72,20 00,00 50,48 39,44 00,66 44,74 05,01 75,03 44,01 74,13 33,24 24,41 08,00 56,00 45,57 41,04 48,02 48,48 03,42 00,24 04,05 48,59 47,66 41,74 13,08 57,56 41,14 00,44 01,75 05,43 48,41 57,46 04,00 68,08 50,66 39,09 48,75 48,00 53,55 41,23 48
Principal Component 2,47 00,48 00,45 00,75 08,03 45,00 57,44 24,29 47,24 10,00 59,46 00,59 59,13 33,59 47,00 33,53 56,00 50,10 72,03 44,24 24,08 50,79 47,00 74,41 00,00 56,46 04,03 55,50 50,24 04,00 53,74 13,43 48,23 48,56 57,44 01,00 68,35 48,01 33,44 48,51 45,25 48,64 24,55 08,05 28,51 51,05 68,00 75,74 33,74 05,05 50,68 47,14 00,53 53,35 00,57 33,50 56,66 39,74 03,04 00,03 50,08 56,59 33,01 75,08 75,00 09,51 53,53 57,74 02,73 03,51 50,77 68,73 68,68 00,75 05,35 50,66 10,75 20,31 48,39 73,50 53,76 68,75 24,50 04,48 47,03 75,01 56,50 47,74 47,00 64,08 74,56 50,40 04,04 56,01 68,75 56,00 01,25 50,74 04,39 75,51 56
Principal Component 3,00 48,47 00,48 00,08 48,44 24,45 00,30 48,01 48,24 20,57 48,40 48,38 48,41 41,24 48,03 45,45 33,29 47,00 49,24 40,48 48,50 48,48 33,03 48,58 48,53 48,41 56,24 10,64 24,66 44,55 48,74 48,48 39,24 50,00 41,57 41,56 41,02 48,13 33,03 44,41 57,59 47,05 48,09 48,43 48,55 41,75 48,23 48,78 48,40 53,48 03,10 72,41 08,41 55,44 48,72 48,00 45,00 44,40 08,54 24,79 47,44 01,45 31,04 48,25 48,31 48,74 13,56 48,03 55,66 41,68 48,40 55,32 48,48 47,24 24,48 31,05 28,51 45,33 48,40 38,21 48,01 33,41 03,01 49,66 38,45 48,44 39,02 00,40 49,48 08,30 00,29 48,47 48,74 33,48 43,66 05,49 03,42 08,77 48,35 48,41 31
Principal Component 4,40 00,44 00,00 48,47 00,72 40,44 24,74 24,00 56,00 57,43 00,08 48,74 40,48 72,68 00,39 41,24 10,00 53,24 20,00 55,53 68,30 48,00 70,48 00,01 48,04 44,57 48,24 08,00 68,74 50,45 00,40 48,10 00,50 68,08 00,41 41,24 40,00 44,77 40,24 48,38 48,53 53,24 00,24 50,50 53,73 40,64 24,00 49,45 33,76 40,00 50,53 55,00 41,74 04,31 40,48 33,48 48,55 56,50 48,41 56,04 00,00 20,20 72,08 57,10 75,56 68,56 55,03 48,74 56,66 44,00 03,53 48,58 48,00 05,00 30,55 68,00 66,50 56,74 48,29 47,68 40,50 47,03 45,75 55,53 56,01 74,39 75,57 53,57 68,20 00,66 39,68 75,56 41,48 39,00 10,57 41,68 44,53 57,53 50,33 40,54 24
Principal Component 5,44 24,24 20,24 08,24 04,54 24,24 40,24 48,01 00,24 50,45 33,55 48,40 55,40 48,66 66,24 10,48 55,48 48,24 44,38 48,30 48,24 24,02 00,74 24,24 01,50 48,24 00,69 00,39 44,46 00,48 03,24 64,45 03,50 08,24 74,44 03,00 45,00 69,14 00,41 32,04 02,41 23,69 01,08 41,48 05,01 10,40 01,53 00,58 48,24 02,40 32,24 39,75 03,53 55,34 24,00 44,10 01,64 24,49 03,41 59,75 48,55 00,40 04,10 33,58 01,23 45,41 33,00 41,47 53,30 00,48 44,54 00,03 01,78 29,03 41,00 75,20 08,57 03,46 53,68 48,03 31,00 02,04 01,56 03,58 03,56 53,30 08,01 03,34 00,64 01,40 54,40 41,49 33,01 39,40 76,00 25,51 69,40 74,40 53,69 03,24 66
Principal Component 6,42 00,41 00,44 24,44 00,72 42,72 40,73 42,24 20,24 08,69 42,74 24,68 42,00 59,24 48,00 48,08 48,30 48,24 40,24 50,40 48,66 42,75 08,00 56,45 33,54 24,38 48,43 00,00 57,00 75,20 00,74 40,48 48,10 72,00 74,68 00,48 72,00 42,00 53,01 74,39 41,08 57,00 55,47 00,00 50,50 48,74 50,74 04,00 70,50 50,24 10,57 48,40 55,59 42,50 53,00 09,00 40,00 05,77 68,53 56,24 00,24 04,00 68,74 56,01 42,04 44,75 05,00 33,58 48,02 75,59 59,66 66,53 53,53 55,64 24,50 56,48 33,55 56,38 00,01 75,46 00,55 48,77 40,00 72,00 73,00 44,74 48,39 75,75 24,76 40,75 00,04 48,48 55,31 41,73 40,00 76,20 72,53 33,01 33,44 38,09 00
Principal Component 7,40 00,31 40,42 00,30 40,01 00,41 00,24 40,00 33,33 40,02 00,55 48,45 33,24 20,00 30,00 68,47 00,03 00,40 55,24 48,40 48,66 66,00 51,48 55,72 42,00 48,68 39,73 42,30 48,52 57,00 59,48 00,04 01,24 50,69 42,48 48,68 42,57 66,44 24,39 40,50 68,45 00,38 48,51 68,53 57,50 48,74 20,50 01,66 42,10 20,08 40,56 01,00 45,31 45,05 68,00 52,35 00,68 48,00 08,00 64,64 24,33 46,54 24,50 00,48 03,20 30,01 52,58 31,33 75,68 38,40 31,08 20,29 47,24 24,50 31,00 25,68 64,20 20,01 51,53 02,51 57,33 45,02 02,74 46,68 68,53 33,51 50,05 31,58 48,00 09,77 68,01 42,48 05,52 68,68 74,24 56,03 45,50 08,08 01,01 33,59 42
Principal Component 8,55 48,00 48,44 00,05 00,40 55,66 66,72 40,48 55,01 00,04 00,45 33,02 00,47 00,00 41,00 01,00 56,00 44,00 74,48 05,24 40,00 75,24 20,48 72,74 40,24 48,50 08,24 50,43 00,00 55,40 48,00 57,68 00,53 55,75 08,00 70,00 53,04 44,39 41,74 04,20 00,53 53,74 50,48 69,50 50,00 45,29 45,50 53,13 31,53 68,77 40,48 01,00 02,00 05,20 72,03 00,41 59,41 33,74 56,74 05,45 03,50 56,55 56,56 55,10 01,76 40,00 09,40 44,78 29,55 68,50 47,08 56,68 40,53 50,64 24,64 44,42 00,44 09,68 75,75 55,02 75,75 05,03 01,66 33,44 48,00 04,44 44,73 03,58 39,78 74,52 50,50 55,04 48,41 23,55 20,74 02,50 28,68 44,49 40,58 01,75 41
Principal Component 9,01 00,45 33,74 24,57 48,08 48,24 20,30 48,02 00,03 00,24 40,75 08,41 41,00 44,24 50,38 48,00 41,48 33,48 03,40 53,40 48,00 45,00 33,00 74,04 00,64 24,00 49,48 48,00 10,00 75,09 00,00 59,08 00,40 55,74 05,50 48,00 66,59 59,56 57,74 48,01 74,66 44,08 57,01 10,66 66,66 41,41 55,10 00,53 48,41 56,57 41,41 08,10 33,08 41,74 08,24 48,49 03,53 56,00 50,44 39,75 05,08 50,56 41,00 40,74 03,58 48,24 10,01 75,41 32,41 23,44 03,09 48,42 08,55 41,74 41,05 48,75 04,40 32,50 50,02 74,41 57,48 08,00 02,00 56,45 03,08 75,55 56,74 04,08 74,75 20,72 48,08 56,41 03,01 48,74 09,75 48,48 55,00 57,51 51,40 41,75 09
Principal Component 10,41 00,30 40,45 33,31 41,45 50,10 72,33 05,24 20,44 00,08 48,70 41,30 48,57 48,24 40,45 45,40 48,45 44,58 75,66 66,00 01,05 03,57 58,00 44,24 50,05 50,44 40,05 66,00 41,72 65,48 48,40 55,24 48,32 40,38 48,00 45,46 04,69 20,45 48,74 24,32 41,48 33,00 08,65 64,55 40,45 40,55 48,66 10,74 40,44 73,08 41,66 30,74 65,21 41,50 48,72 40,20 73,66 39,44 39,48 03,40 53,74 63,66 46,72 74,05 44,74 20,40 41,01 74,47 00,73 73,66 47,48 55,45 66,74 69,03 73,46 05,00 09,58 48,00 00,75 48,74 04,00 20,63 20,64 24,55 54,00 70,44 66,39 41,44 38,75 30,04 66,08 30,48 72,43 00,68 41,72 48,46 44,57 03,20 72,72 63,03 46
