Mnemonic  ,  Occurrences  ,  File Count
MOV  ,  36173570  ,  14804
EAX  ,  20076457  ,  14748
RBP  ,  17829763  ,  14195
RAX  ,  11854050  ,  15734
PUSH  ,  11853797  ,  15819
RSP  ,  9912149  ,  13693
CALL  ,  9370340  ,  15425
RCX  ,  8800592  ,  14040
ECX  ,  7891127  ,  14041
RSI  ,  6475380  ,  14105
CMP  ,  6308356  ,  14702
RBX  ,  5691585  ,  14078
LEA  ,  5481027  ,  13319
RDI  ,  5305707  ,  13998
EDX  ,  4978421  ,  13477
JZ  ,  4567610  ,  13459
POP  ,  4490868  ,  13976
ADD  ,  4391116  ,  15732
RDX  ,  3925603  ,  13360
ESI  ,  3895180  ,  13524
TEST  ,  3886937  ,  13262
JMP  ,  3823067  ,  15612
JNZ  ,  3380933  ,  13517
EDI  ,  3317725  ,  13078
EBX  ,  3143882  ,  13875
XOR  ,  3085474  ,  15293
SUB  ,  2708547  ,  13741
ESP  ,  2142498  ,  13258
RET  ,  2120823  ,  13745
AL  ,  1782813  ,  15229
EBP  ,  1466754  ,  13894
AND  ,  1460267  ,  13014
MOVZX  ,  1151771  ,  11698
FLD  ,  986478  ,  1521
OR  ,  908088  ,  12831
CL  ,  654165  ,  12924
FSTP  ,  629575  ,  1433
JC  ,  568226  ,  9768
AX  ,  549451  ,  11465
FMUL  ,  463227  ,  1349
IMUL  ,  452098  ,  9141
NOP  ,  446061  ,  4455
JG  ,  436720  ,  8775
DL  ,  427664  ,  12576
SHL  ,  408168  ,  12240
BL  ,  397526  ,  12086
SHR  ,  377118  ,  9823
INC  ,  364639  ,  9800
JNC  ,  349858  ,  9312
FADD  ,  307067  ,  2016
JBE  ,  298463  ,  10451
JA  ,  269755  ,  11692
FSUB  ,  266794  ,  2440
JL  ,  259463  ,  11558
MOVSXD  ,  250225  ,  1949
LEAVE  ,  244214  ,  10430
JLE  ,  233098  ,  11246
CX  ,  213656  ,  8092
SAR  ,  185924  ,  8403
MOVSD  ,  178872  ,  5312
DEC  ,  173074  ,  11163
FADDP  ,  166249  ,  959
FS  ,  155588  ,  8535
DX  ,  149858  ,  9111
MOVDQA  ,  149846  ,  3386
MOVSX  ,  149720  ,  8337
NEG  ,  148390  ,  11497
JGE  ,  147166  ,  9345
AH  ,  133653  ,  10667
SBB  ,  132060  ,  11462
ROL  ,  129910  ,  4079
JS  ,  116439  ,  8192
ROR  ,  109917  ,  6925
NOT  ,  105950  ,  10072
FSUBP  ,  102408  ,  879
DIL  ,  96416  ,  4816
CDQ  ,  95570  ,  5902
JNS  ,  91922  ,  7783
SIL  ,  80491  ,  4607
SETNZ  ,  79573  ,  7891
FDIV  ,  79407  ,  1119
SETZ  ,  75854  ,  5015
LOCK  ,  74232  ,  4426
MOVUPS  ,  71588  ,  524
BX  ,  71379  ,  7610
SI  ,  68018  ,  6561
BPL  ,  67612  ,  5201
REP  ,  67507  ,  6451
ADC  ,  67261  ,  10314
MOVAPS  ,  67029  ,  508
IDIV  ,  62459  ,  2488
FMULP  ,  60203  ,  723
CLD  ,  59889  ,  9499
BH  ,  56100  ,  7903
DI  ,  54544  ,  4359
CH  ,  50659  ,  6255
FNSTSW  ,  50580  ,  781
STOSD  ,  50183  ,  7527
DIV  ,  48761  ,  7823
XCHG  ,  48113  ,  6699
BT  ,  47856  ,  2401
SETG  ,  47463  ,  2356
FXCH  ,  47136  ,  853
MUL  ,  44448  ,  4462
CMOVNZ  ,  43714  ,  1798
MOVDQU  ,  43427  ,  1318
CMOVZ  ,  42232  ,  1838
DH  ,  41129  ,  4698
CDQE  ,  37102  ,  970
XADD  ,  35554  ,  1188
BP  ,  32817  ,  3311
FST  ,  29872  ,  1026
JP  ,  29478  ,  1313
FSUBRP  ,  27189  ,  700
MULSD  ,  26770  ,  347
FCOMP  ,  24931  ,  930
MOVSS  ,  23570  ,  374
GS  ,  23018  ,  6915
BTS  ,  22188  ,  1062
REPNE  ,  20920  ,  1416
FLDZ  ,  19476  ,  667
XORPS  ,  19167  ,  575
SETL  ,  19003  ,  969
CMOVNC  ,  18644  ,  898
DS  ,  18173  ,  5856
